Original Name,Common Name,Medicinal Use,Abused For,Side Effects,History,Relative Molecular Mass (g/mol)
"Testosterone,Testoviron,Hormone replacement therapy,Muscle growth; performance,Acne; gynecomastia; testicular atrophy,""Discovered in 1935; widely used in medicine and sports"",288.42",Unknown,Unknown,Unknown,Unknown,Unknown,
"Methandrostenolone,Dianabol,None (discontinued),Muscle mass; strength,Liver toxicity; aggression; gynecomastia,""Introduced in the 1960s; popular among bodybuilders"",300.44",Unknown,Unknown,Unknown,Unknown,Unknown,
"Nandrolone,Deca-Durabolin,Treating anemia and osteoporosis,Bulking cycles,Cardiovascular issues; testicular atrophy,""Developed in the 1950s; used medically and recreationally"",274.37",Unknown,Unknown,Unknown,Unknown,Unknown,
"Oxandrolone,Anavar,Weight gain after surgery or trauma,Cutting cycles,Liver damage; masculinization in women,""Approved in the 1960s; known for mild androgenic effects"",306.44",Unknown,Unknown,Unknown,Unknown,Unknown,
"Stanozolol,Winstrol,Angioedema treatment,Lean muscle retention,Liver stress; joint pain,""Developed in 1962; used in veterinary medicine and athletics"",328.49",Unknown,Unknown,Unknown,Unknown,Unknown,
"Trenbolone,Parabolan,Veterinary use (muscle growth in livestock),Bulking and cutting,Night sweats; aggression; cardiovascular strain,""Introduced for veterinary use; adopted by athletes"",312.41",Unknown,Unknown,Unknown,Unknown,Unknown,
"Oxymetholone,Anadrol,Treating anemia,Rapid weight gain,Severe liver toxicity; water retention,""Approved in the 1950s; known for potent anabolic effects"",332.48",Unknown,Unknown,Unknown,Unknown,Unknown,
"Drostanolone,Masteron,Breast cancer treatment,Cutting cycles,Hair loss; prostate enlargement,""Developed in the 1970s; favored for aesthetic improvements"",304.46",Unknown,Unknown,Unknown,Unknown,Unknown,
"Fluoxymesterone,Halotestin,Hypogonadism and delayed puberty,Strength gains,Liver damage; aggression,""Introduced in the 1950s; known for high androgenic effects"",336.44",Unknown,Unknown,Unknown,Unknown,Unknown,
"Boldenone,Equipoise,Veterinary use (horses),Lean muscle gain,Acne; cardiovascular strain,""Developed for veterinary purposes; widely used by bodybuilders"",286.41",Unknown,Unknown,Unknown,Unknown,Unknown,
4-Hydroxytestosterone,4-Hydroxytestosterone,Unknown,Performance enhancement,"Liver toxicity, hormonal imbalance",Developed as a testosterone derivative,288.42
11-Ketotestosterone,11-Ketotestosterone,Research purposes,Performance enhancement,Unknown,Found in some fish species,288.42
11β-Methyl-19-nortestosterone,11β-MNT,Unknown,Performance enhancement,Unknown,Synthetic derivative of nandrolone,300.44
Dienolone,Dienolone,Unknown,Performance enhancement,Unknown,Synthetic derivative of nandrolone,288.42
Dimethandrolone,Dimethandrolone,Research purposes,Performance enhancement,Unknown,Synthetic derivative of nandrolone,300.44
Norclostebol,Norclostebol,Unknown,Performance enhancement,Unknown,Synthetic derivative of clostebol,288.42
Oxabolone,Oxabolone,Unknown,Performance enhancement,Unknown,Synthetic derivative of nandrolone,300.44
Trestolone,MENT,Research purposes,Performance enhancement,Unknown,Synthetic derivative of nandrolone,300.44
7α-Methyl-19-nor-4-androstenedione,MENT dione,Unknown,Performance enhancement,Unknown,Synthetic derivative of nandrolone,300.44
